BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
1087645,43559,7/26/2024,Accident,Other Construction Related,0,1,3880,9 AVENUE,Manhattan,2189,60,10034,40.864118,-73.916764,112,10,1021890060,299,MN1203
1091739,43642,8/17/2024,Accident,Worker Fell,0,1,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,9,1017340002,212,MN1002
4120003,42907,3/3/2024,Incident,Material Failure (Fell),0,0,189-14,CROCHERON AVENUE,Queens,5307,24,11358,40.763249,-73.792475,411,19,4053070024,1139,QN1101
3000146,43409,6/21/2024,Accident,Other Construction Related,0,1,218,FRONT STREET,Brooklyn,55,20,11201,40.702309,-73.983698,302,33,3000550020,21,BK0202
3429422,43012,3/25/2024,Accident,Worker Fell,0,1,11,OCEAN PARKWAY,Brooklyn,5322,10,11218,40.650632,-73.973191,307,40,3053220010,50401,BK0701
3327888,42886,2/28/2024,Accident,Other Construction Related,0,1,197,STAGG WALK,Brooklyn,3026,1,11206,40.709644,-73.94204,301,34,3030260001,49301,BK0104
3429828,43456,6/29/2024,Incident,Scaffold/Shoring Installations,0,0,5306,9 AVENUE,Brooklyn,5665,41,11220,40.638003,-74.003376,312,43,3056650041,10602,BK1201
3107227,42993,3/20/2024,Accident,Other Construction Related,0,1,600,KINGSTON AVENUE,Brooklyn,4811,1,11203,40.658893,-73.942458,309,40,3048110001,810,BK0902
1014251,43030,3/28/2024,Accident,Worker Fell,0,1,220,WEST 28 STREET,Manhattan,777,18,10001,40.747582,-73.994197,105,3,1007770018,95,MN0501
3816613,43413,6/22/2024,Accident,Worker Fell,0,1,97,GLENMORE AVENUE,Brooklyn,3692,1,11212,40.671537,-73.907191,316,37,3036920001,908,BK1602
3022690,43155,4/18/2024,Accident,Material Failure (Fell),0,2,504,10 STREET,Brooklyn,1018,26,11215,40.666803,-73.983148,306,39,3010180026,151,BK0602
1034830,43263,5/15/2024,Accident,Other Construction Related,0,1,718,5 AVENUE,Manhattan,1271,41,10019,40.762204,-73.974536,105,4,1012710041,104,MN0502
1007020,43258,5/14/2024,Accident,Worker Fell,0,1,39,CROSBY STREET,Manhattan,473,7503,10013,40.721351,-73.99908,102,1,1004737503,45,MN0201
1091739,43597,8/6/2024,Accident,Other Construction Related,0,2,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,9,1017340002,212,MN1002
1080352,44594,5/12/2025,Accident,Worker Fell,0,1,450,11 AVENUE,Manhattan,708,65,10018,40.757406,-74.000787,104,3,1007080065,9903,MN0401
4620885,43921,11/4/2024,Accident,Mechanical Construction Equipment,0,1,26-32,JACKSON AVENUE,Queens,267,21,11101,40.747551,-73.94113,402,26,4002670021,1902,QN0201
4624423,43424,6/24/2024,Incident,Other Construction Related,0,0,42-06,ORCHARD STREET,Queens,265,13,11101,40.74817,-73.938805,402,26,4002650013,1902,QN0201
3426198,43557,7/26/2024,Accident,Worker Fell,0,1,532,NEPTUNE AVENUE,Brooklyn,7273,7501,11224,40.579868,-73.973025,313,48,3072737501,354,BK1302
1034211,42976,3/18/2024,Accident,Material Failure (Fell),0,1,520,5 AVENUE,Manhattan,1259,35,10036,40.754421,-73.980213,105,4,1012590035,96,MN0502
